Title,Artist,Year,Entities,Entity Lines
Vete,Bad Bunny,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
EARFQUAKE,"Tyler, The Creator",2019.,"[{'tiffany'}, set()]","{'brands': {'tiffany': 'These diamonds not Tiffany, huh, yeah (Woah, woah)'}, 'locations': {}}"
Lalala,Y2K,2019.,"[{'gucci'}, {'canada'}]","{'brands': {'gucci': 'Got that Gucci on my body, now she tryna pipe me, woo'}, 'locations': {'canada': 'Baby so cold, he from the north, he from the Canada'}}"
Talk,Khalid,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Soltera (Remix),Lunay,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
RITMO (Bad Boys For Life),Black Eyed Peas,2019.,"[{'reebok', 'nike'}, {'mexico'}]","{'brands': {'reebok': 'No son ni Reebok ni son Nike (No)', 'nike': 'No son ni Reebok ni son Nike (No)'}, 'locations': {'mexico': 'I learned that shit down in Mexico'}}"
Sunday Best,Surfaces,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Higher Love,Kygo,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
You Need To Calm Down,Taylor Swift,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
i love you,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Lose Control,MEDUZA,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Bandit,Juice WRLD,2019.,"[{'tommy hilfiger'}, set()]","{'brands': {'tommy hilfiger': 'That Tommy hit a nigga, Tommy Hilfiger, fuck niggas'}, 'locations': {}}"
ily (i love you baby),Surf Mesa,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Golden,Harry Styles,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Lost in the Fire,Gesaffelstein,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Ballin',Mustard,2019.,"[{'maybach', 'jeep', 'givenchy', 'bentayga', 'rolls royce'}, {'london', 'new orleans'}]","{'brands': {'jeep': 'I put the new Forgis on the Jeep', 'maybach': 'I hopped inside of the Maybach and now I can sit back', 'givenchy': ""Givenchy to my toes, two twins, I'm fucking 'em both"", 'bentayga': 'Got my baby mama that new Bentayga', 'rolls royce': ""Rolls Royce umbrellas when I'm in the rain""}, 'locations': {'london': 'I run the racks up with my queen like London and Nip', 'new orleans': 'Got a New Orleans bitch and man, that pussy voodoo'}}"
you should see me in a crown,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Are You Bored Yet?,Wallows,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
double take,Dhruv,2019.,"[{'levis'}, set()]","{'brands': {'levis': ""Those blue Levi's inside my head""}, 'locations': {}}"
Formula,Labrinth,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
ME!,Taylor Swift,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Pop Out,Polo G,2019.,"[{'glock', 'rollie'}, {'cali'}]","{'brands': {'rollie': 'Diamonds in the Rollie, they in HD like it’s Blu-Ray', 'glock': ""Lil' bro get up close, let the Glock .22 spray""}, 'locations': {'cali': 'Booked a flight to Cali, racks and condoms in my suitcase'}}"
