Title,Artist,Year,Entities
Time,Free Nationals,2019.,"[set(), set()]"
Knock Knock,SoFaygo,2019.,"[{'tesla'}, set()]"
Hot Rod,Dayglow,2019.,"[set(), set()]"
Cash Shit,Megan Thee Stallion,2019.,"[{'gucci', 'louis'}, set()]"
Runaway,Sebastian Yatra,2019.,"[set(), set()]"
Immortal,21 Savage,2019.,"[{'glock'}, set()]"
Splashin,Rich The Kid,2019.,"[{'benz', 'fendi', 'gucci', 'dolce', 'off-white'}, set()]"
Simplemente Gracias,Calibre 50,2019.,"[set(), set()]"
Runnin' Down A Dream,Tom Petty,2019.,"[set(), set()]"
You & Me,James TW,2019.,"[set(), set()]"
La vie qu'on mène,Ninho,2019.,"[set(), {'seychelles'}]"
Porno,Rich Music LTD,2019.,"[{'moschino'}, set()]"
No One Compares To You,Jack & Jack,2019.,"[set(), set()]"
Antisocial,Ed Sheeran,2019.,"[{'hennessys'}, set()]"
Good Thing,Zedd,2019.,"[set(), set()]"
Bebi Liguei,Marília Mendonça,2019.,"[set(), set()]"
Peer Pressure,James Bay,2019.,"[set(), set()]"
Keanu Reeves,Logic,2019.,"[set(), set()]"
Even Though I'm Leaving,Luke Combs,2019.,"[set(), set()]"
El Amor de Mi Vida,La Adictiva,2019.,"[set(), set()]"
Heartless,Polo G,2019.,"[set(), set()]"
El Circo,El Fantasma,2019.,"[set(), set()]"
Some Say,Nea,2019.,"[set(), set()]"
Rehab (Winter In Paris),Brent Faiyaz,2019.,"[set(), set()]"
To Be So Lonely,Harry Styles,2019.,"[set(), set()]"
LOYAL,PARTYNEXTDOOR,2019.,"[set(), set()]"
Look What God Gave Her,Thomas Rhett,2019.,"[{'corona'}, set()]"
Play,K-391,2019.,"[set(), set()]"
Briga Feia,Henrique & Juliano,2019.,"[set(), set()]"
RUNNING OUT OF TIME,"Tyler, The Creator",2019.,"[set(), set()]"
July,Noah Cyrus,2019.,"[set(), set()]"
Come Thru,Summer Walker,2019.,"[set(), {'london'}]"
Love Me Less,MAX,2019.,"[set(), set()]"
Cyber Sex,Doja Cat,2019.,"[{'samsung'}, set()]"
goodbye,Billie Eilish,2019.,"[set(), set()]"
Khairiyat,Pritam,2019.,"[set(), set()]"
Te Quemaste,Manuel Turizo,2019.,"[set(), set()]"
Secukupnya,Hindia,2019.,"[set(), set()]"
Ciumeira,Marília Mendonça,2019.,"[set(), set()]"
Ladbroke Grove,AJ Tracey,2019.,"[{'rover'}, set()]"
Pretender,OFFICIAL HIGE DANDISM,2019.,"[set(), set()]"
El Doctor,Grupo Marca Registrada,2019.,"[{'glock'}, {'san diego', 'tijuana', 'chula vista', 'san isidro'}]"
Up All Night,Khalid,2019.,"[set(), set()]"
365,Zedd,2019.,"[set(), set()]"
False God,Taylor Swift,2019.,"[set(), {'new york'}]"
STUPID,Ashnikko,2019.,"[set(), set()]"
DALLA DALLA,ITZY,2019.,"[set(), set()]"
Outta My Head,Khalid,2019.,"[set(), set()]"
Bones,Galantis,2019.,"[set(), set()]"
Soldi,Mahmood,2019.,"[set(), set()]"
Vou Ter Que Superar,Matheus & Kauan,2019.,"[set(), set()]"
El de La Codeina,Natanael Cano,2019.,"[{'diesel'}, set()]"
Ex Bitch,XXXTENTACION,2019.,"[set(), set()]"
Nobody,Martin Jensen,2019.,"[set(), set()]"
Summertime In Paris,Jaden,2019.,"[set(), {'paris'}]"
Light On,Maggie Rogers,2019.,"[set(), set()]"
Castles,Freya Ridings,2019.,"[set(), set()]"
Who Needs Love,Trippie Redd,2019.,"[{'patek'}, set()]"
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,2019.,"[{'gucci', 'apple'}, {'nashville', 'rome', 'beirut', 'cairo', 'nyc', 'florida', 'georgia', 'london'}]"
Vermissen,Juju,2019.,"[set(), set()]"
No Se Me Quita,Maluma,2019.,"[set(), set()]"
Would That I,Hozier,2019.,"[set(), set()]"
"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,2019.,"[set(), set()]"
sex money feelings die,Lykke Li,2019.,"[set(), set()]"
Detente,Mike Bahía,2019.,"[set(), set()]"
The Good Ones,Gabby Barrett,2019.,"[set(), set()]"
Remember The Name,Ed Sheeran,2019.,"[{'fendi', 'balenciaga'}, {'tokyo', 'delaware'}]"
Burbujas de Cristal,Cartel De Santa,2019.,"[{'cristal'}, set()]"
Oye Pablo,Danna Paola,2019.,"[set(), {'madrid'}]"
False Confidence,Noah Kahan,2019.,"[set(), set()]"
I Love You 3000,Stephanie Poetri,2019.,"[set(), set()]"
CANGURO,WOS,2019.,"[set(), set()]"
Moulaga,Heuss L'enfoiré,2019.,"[{'rolex'}, set()]"
A Thousand Bad Times,Post Malone,2019.,"[set(), set()]"
105 F Remix,KEVVO,2019.,"[{'pepsi', 'louis vuitton', 'nike', 'phantom'}, {'vegas', 'austin', 'la'}]"
S de Saudade,Luíza & Maurílio,2019.,"[set(), set()]"
When I R.I.P.,Labrinth,2019.,"[set(), {'indiana'}]"
100 Bad Days,AJR,2019.,"[set(), set()]"
Kingston,Faye Webster,2019.,"[set(), {'kingston'}]"
Jamais Vu,BTS,2019.,"[set(), set()]"
menina solta,GIULIA BE,2019.,"[set(), set()]"
COMO UN BEBÉ,J Balvin,2019.,"[set(), set()]"
Tap,NAV,2019.,"[{'uber', 'maybach', 'glock'}, {'london'}]"
Boys,Lizzo,2019.,"[set(), {'mississippi'}]"
Good Things Fall Apart,ILLENIUM,2019.,"[set(), set()]"
Come Inside Of My Heart,IV Of Spades,2019.,"[set(), set()]"
Orphans,Coldplay,2019.,"[set(), set()]"
Giants,Dermot Kennedy,2019.,"[set(), set()]"
Find U Again,Mark Ronson,2019.,"[set(), set()]"
Cuerpo en Venta,Noriel,2019.,"[set(), set()]"
La La Land,Bryce Vine,2019.,"[set(), {'california', 'cali'}]"
Imagination,Foster The People,2019.,"[set(), set()]"
"1, 2 Many",Luke Combs,2019.,"[{'millers'}, set()]"
Start Wit Me,Roddy Ricch,2019.,"[{'barneys', 'bentley', 'cartier', 'glock', 'givenchy', 'barbie', 'arizona'}, {'arizona', 'africa', 'colombia', 'china'}]"
Remember When,Wallows,2019.,"[set(), set()]"
Mariners Apartment Complex,Lana Del Rey,2019.,"[set(), set()]"
Kenny G,Matuê,2019.,"[{'hennessy'}, set()]"
Last Hurrah,Bebe Rexha,2019.,"[set(), set()]"
Investe Em Mim,Jonas Esticado,2019.,"[set(), set()]"
Colors,Black Pumas,2019.,"[{'pumas'}, set()]"
My Bad,Khalid,2019.,"[set(), set()]"
"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,2019.,"[set(), set()]"
R.I.P.,Sofía Reyes,2019.,"[set(), set()]"
Slide,H.E.R.,2019.,"[set(), set()]"
A Gente Fez Amor,Gusttavo Lima,2019.,"[set(), {'lima'}]"
AirplaneMode,BONES,2019.,"[set(), set()]"
Goin Baby,DaBaby,2019.,"[set(), {'la'}]"
Bola Rebola,Tropkillaz,2019.,"[{'ferrari'}, set()]"
Aleluya,Reik,2019.,"[set(), set()]"
Take Me Back to London,Ed Sheeran,2019.,"[set(), {'london', 'rome'}]"
Vida Ventajosa,Los Dos Carnales,2019.,"[{'ralph lauren', 'glock', 'nike'}, set()]"
Fíjate Que Sí,Edwin Luna y La Trakalosa de Monterrey,2019.,"[set(), set()]"
7 Minutes,Dean Lewis,2019.,"[set(), set()]"
El Vals Del Olvido,Alfredo Olivas,2019.,"[set(), set()]"
Forever Alone,Paulo Londra,2019.,"[set(), set()]"
"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,2019.,"[set(), set()]"
A Dónde Vamos,Morat,2019.,"[set(), {'madrid'}]"
Fuck it I love you,Lana Del Rey,2019.,"[set(), {'california', 'californias'}]"
Quarta Cadeira,Matheus & Kauan,2019.,"[set(), set()]"
Oye,TINI,2019.,"[set(), {'tantas'}]"
Tijolão,Jorge & Mateus,2019.,"[{'nokia'}, set()]"
Qué Pena,Maluma,2019.,"[set(), {'colombia', 'medellín'}]"
Fuck The World (Summer in London),Brent Faiyaz,2019.,"[set(), {'london'}]"
No Te Vayas,Camilo,2019.,"[set(), set()]"
I'm Gonna Be,Post Malone,2019.,"[{'richard mille', 'tom ford', 'crocs'}, set()]"
Pupila,ANAVITÓRIA,2019.,"[set(), set()]"
A BOY IS A GUN*,"Tyler, The Creator",2019.,"[set(), set()]"
Kung 'Di Rin Lang Ikaw,December Avenue,2019.,"[set(), set()]"
Canyon Moon,Harry Styles,2019.,"[set(), {'paris', 'rome'}]"
CYANIDE,Daniel Caesar,2019.,"[set(), {'paris', 'dc'}]"
Pain,Josh A,2019.,"[set(), set()]"
Baby Sitter,DaBaby,2019.,"[{'gucci', 'lambo', 'patek'}, set()]"
Finer Things,Polo G,2019.,"[{'gucci'}, set()]"
No Lo Trates,Pitbull,2019.,"[set(), set()]"
In My Bed,Rotimi,2019.,"[set(), set()]"
Tra Tra Tra Remix,Ghetto Kids,2019.,"[set(), set()]"
Close Your Eyes,Felix Jaehn,2019.,"[set(), set()]"
Nada,Cazzu,2019.,"[set(), set()]"
Au DD,PNL,2019.,"[{'gucci'}, set()]"
Movement,Hozier,2019.,"[set(), set()]"
Ausländer,Rammstein,2019.,"[set(), set()]"
High School Sweethearts,Melanie Martinez,2019.,"[set(), set()]"
Hola Señorita,GIMS,2019.,"[set(), {'l.a.'}]"
No Sleep,Martin Garrix,2019.,"[set(), set()]"
Costa Rica,Dreamville,2019.,"[{'fendi'}, {'costa rica'}]"
Lovin' On You,Luke Combs,2019.,"[{'miller', 'ford', 'marlboro'}, set()]"
Earth,Lil Dicky,2019.,"[set(), {'germany', 'africa', 'russia', 'india', 'asia'}]"
Cool,Jonas Brothers,2019.,"[set(), set()]"
Todo Mundo Vai Sofrer,Marília Mendonça,2019.,"[set(), set()]"
Hold On,Lil Tjay,2019.,"[{'henny', 'porsche'}, set()]"
RNP,Cordae,2019.,"[{'ferraris', 'listerine', 'chanel'}, {'europe'}]"
Lights,BTS,2019.,"[set(), set()]"
Behind Barz,Drake,2019.,"[{'versace'}, {'milan'}]"
Perreo en La Luna,Rich Music LTD,2019.,"[set(), set()]"
Ghost,Confetti,2019.,"[set(), set()]"
N Side,Steve Lacy,2019.,"[set(), set()]"
Don't Rush,Young T & Bugsey,2019.,"[{'gucci', 'nikes', 'diesel', 'benz'}, set()]"
if we never met,John K,2019.,"[set(), set()]"
Staring At The Sun,Post Malone,2019.,"[set(), set()]"
Hot Shower,Chance the Rapper,2019.,"[{'louis', 'glock', 'dior', 'sprite', 'off-white'}, {'america'}]"
Bellacoso,Residente,2019.,"[{'nokia'}, {'trujillo'}]"
Cheirosa,Jorge & Mateus,2019.,"[set(), set()]"
MELÓN VINO,WOS,2019.,"[set(), set()]"
Amor de Fim de Noite,Orochi,2019.,"[set(), set()]"
Harder,Jax Jones,2019.,"[set(), set()]"
Bellaquita,Dalex,2019.,"[{'dolce'}, set()]"
Solo Pienso En Ti,Paulo Londra,2019.,"[set(), set()]"
11 Minutes,YUNGBLUD,2019.,"[set(), set()]"
Mi Persona Favorita,Alejandro Sanz,2019.,"[set(), set()]"
Pehla Pyaar,Vishal Mishra,2019.,"[set(), set()]"
SIN MIRAR LAS SEÑALES,Rels B,2019.,"[set(), set()]"
"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,2019.,"[set(), set()]"
Ferida Curada,Zé Neto & Cristiano,2019.,"[set(), set()]"
God Is A Dancer,Tiësto,2019.,"[set(), set()]"
Phases,PRETTYMUCH,2019.,"[set(), {'austin'}]"
Shouldn't Be,Luke Chiang,2019.,"[set(), set()]"
Without Me,Halsey,2019.,"[set(), set()]"
"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,2019.,"[set(), set()]"
Better When You're Gone,David Guetta,2019.,"[set(), set()]"
200 km/h,Apache 207,2019.,"[set(), set()]"
You Little Beauty,FISHER,2019.,"[set(), set()]"
6locc 6a6y,Lil Loaded,2019.,"[{'levis', 'nikes', 'glock'}, set()]"
Say Love,James TW,2019.,"[set(), set()]"
All You Need To Know,Gryffin,2019.,"[set(), set()]"
Una Vida Para Recordar,Piso 21,2019.,"[set(), set()]"
Un Suspiró,JR Torres,2019.,"[set(), set()]"
Peach,Kevin Abstract,2019.,"[set(), {'atlanta'}]"
Big Gangsta,Kevin Gates,2019.,"[{'honda'}, {'paris'}]"
La La Lost You,NIKI,2019.,"[set(), {'new york', 'brooklyn', 'manhattans', 'malibu', 'brooklyns'}]"
Treat People With Kindness,Harry Styles,2019.,"[set(), set()]"
Born For This,The Score,2019.,"[set(), set()]"
Never Go Back,Dennis Lloyd,2019.,"[set(), set()]"
Asmalibrasi,Soegi Bornean,2019.,"[set(), {'asmara'}]"
WHAT TO DO?,JACKBOYS,2019.,"[set(), set()]"
Glitter,BENEE,2019.,"[set(), set()]"
白日,King Gnu,2019.,"[set(), set()]"
Solita,Sech,2019.,"[set(), set()]"
Caballero,Alejandro Fernández,2019.,"[set(), set()]"
Babushka Boi,A$AP Rocky,2019.,"[{'bentleys', 'prada'}, set()]"
Es Que Me Gustas,Los 2 de la S,2019.,"[set(), set()]"
El Amor No Fue Pa´ Mí,Grupo Firme,2019.,"[set(), set()]"
Pretty Heart,Parker McCollum,2019.,"[set(), {'austin'}]"
Slow Dance,AJ Mitchell,2019.,"[set(), set()]"
Talk You Out Of It,Florida Georgia Line,2019.,"[set(), set()]"
Good as You,Kane Brown,2019.,"[set(), set()]"
Tá Rocheda,Os Barões Da Pisadinha,2019.,"[set(), set()]"
6 Kiss,Trippie Redd,2019.,"[set(), set()]"
Like It's Christmas,Jonas Brothers,2019.,"[set(), set()]"
Daddy,Blueface,2019.,"[{'louis', 'jimmy choo', 'fendi', 'balenciaga', 'gucci', 'fendis', 'honda', 'dolce', 'prada', 'chanel'}, set()]"
Death,Trippie Redd,2019.,"[set(), set()]"
Pagtingin,Ben&Ben,2019.,"[set(), set()]"
Chicken Noodle Soup,j-hope,2019.,"[set(), set()]"
Bossa No Sé,Cuco,2019.,"[set(), set()]"
El Buho,Luis R Conriquez,2019.,"[set(), {'tijuana', 'san diego'}]"
Sa Ngalan Ng Pag-Ibig,December Avenue,2019.,"[set(), set()]"
Racks in the Middle,Nipsey Hussle,2019.,"[{'maybach', 'dior', 'lambo', 'patek', 'puma'}, {'vegas'}]"
Phoenix,League of Legends,2019.,"[set(), {'phoenix'}]"
Radio,Rammstein,2019.,"[set(), set()]"
Power is Power,SZA,2019.,"[set(), set()]"
Déjate Querer,Lalo Ebratt,2019.,"[set(), {'miami'}]"
GANG GANG,JACKBOYS,2019.,"[set(), {'new york', 'la'}]"
Habit,Still Woozy,2019.,"[set(), set()]"
Dois Enganados,Murilo Huff,2019.,"[set(), set()]"
110,Capital Bra,2019.,"[set(), set()]"
MALA SANTA,Becky G,2019.,"[set(), set()]"
I Don't Belong In This Club,Why Don't We,2019.,"[{'uber', 'ubers', 'red bull'}, set()]"
Red Room,Offset,2019.,"[{'lamborghini'}, {'brooklyn'}]"
Hate Myself,NF,2019.,"[set(), set()]"
Down Bad,Dreamville,2019.,"[{'porsche'}, {'atlanta'}]"
Enamórate De Alguien Más,Morat,2019.,"[set(), set()]"
I Wish Grandpas Never Died,Riley Green,2019.,"[{'bud light', 'chevrolet'}, {'birmingham'}]"
Can We Pretend,P!nk,2019.,"[set(), {'la'}]"
Down To The Honkytonk,Jake Owen,2019.,"[set(), set()]"
Barzinho Aleatório,Zé Neto & Cristiano,2019.,"[set(), set()]"
Cada Vez Te Extraño Más,Grupo Firme,2019.,"[set(), {'la'}]"
How to disappear,Lana Del Rey,2019.,"[set(), {'new york', 'california'}]"
Heartache Medication,Jon Pardi,2019.,"[set(), set()]"
Show & Tell,Melanie Martinez,2019.,"[set(), set()]"
Fire for You,Cannons,2019.,"[set(), set()]"
Another Life,Motionless In White,2019.,"[set(), set()]"
Atrévete,Nicky Jam,2019.,"[set(), {'puerto rico'}]"
Que Le De,Rauw Alejandro,2019.,"[set(), set()]"
Got What I Got,Jason Aldean,2019.,"[set(), set()]"
MONOPOLY,Ariana Grande,2019.,"[set(), set()]"
Cha Cha,Freddie Dredd,2019.,"[set(), set()]"
Somebody,Internet Money,2019.,"[{'rari'}, set()]"
Body Back,Gryffin,2019.,"[set(), set()]"
Need Me,J.I the Prince of N.Y,2019.,"[set(), set()]"
Gaiola É o Troco,MC Du Black,2019.,"[set(), set()]"
Higa,Arthur Nery,2019.,"[set(), set()]"
fast,Sueco,2019.,"[{'saks'}, set()]"
Seguimos Laborando,Grupo 360,2019.,"[{'glock'}, set()]"
Undecided,Chris Brown,2019.,"[set(), set()]"
Canela,Nanpa Básico,2019.,"[set(), set()]"
Gitme,Dolu Kadehi Ters Tut,2019.,"[set(), set()]"
SENTADÃO,PEDRO SAMPAIO,2019.,"[set(), set()]"
Makhna,Yasser Desai,2019.,"[set(), set()]"
Resah Jadi Luka,Daun Jatuh,2019.,"[set(), set()]"
Sorry,Joel Corry,2019.,"[set(), set()]"
Serenata,Marília Mendonça,2019.,"[set(), set()]"
Clandestina,FILV,2019.,"[set(), {'miami'}]"
Future Nostalgia,Dua Lipa,2019.,"[set(), set()]"
hope is a dangerous thing for a woman like me to have,Lana Del Rey,2019.,"[set(), set()]"
Si Te Falta Alguien,Christian Nodal,2019.,"[set(), set()]"
Intro : Persona,BTS,2019.,"[set(), set()]"
Someone To Spend Time With,Los Retros,2019.,"[set(), set()]"
Used To Love,Martin Garrix,2019.,"[set(), set()]"
Pa Los Gustos Los Colores,Javiielo,2019.,"[set(), set()]"
Magic,Lil Skies,2019.,"[set(), set()]"
Christmas Tree Farm,Taylor Swift,2019.,"[set(), set()]"
Manda Áudio,Di Propósito,2019.,"[set(), set()]"
Mejor No Nos Vemos,Rels B,2019.,"[set(), {'medellín'}]"
Tempo,Lizzo,2019.,"[set(), set()]"
Tilidin,Capital Bra,2019.,"[{'adidas', 'lambo', 'benz'}, {'monaco'}]"
HEAVEN AND BACK,Chase Atlantic,2019.,"[set(), set()]"
Scrawny,Wallows,2019.,"[set(), set()]"
+ (MÁS),Aitana,2019.,"[set(), {'tantas'}]"
Won't Be Late,Swae Lee,2019.,"[set(), set()]"
Bluebird,Miranda Lambert,2019.,"[set(), set()]"
Una volta ancora,Fred De Palma,2019.,"[set(), {'palma'}]"
I Love...,OFFICIAL HIGE DANDISM,2019.,"[set(), set()]"
Várias Queixas,Gilsons,2019.,"[set(), set()]"
Imaginate,Rich Music LTD,2019.,"[{'barbie'}, set()]"
I'll Kill You,Summer Walker,2019.,"[set(), {'london'}]"
Bonita,Juanes,2019.,"[set(), {'colombia'}]"
Allergic,Post Malone,2019.,"[set(), set()]"
Umaasa,Calein,2019.,"[set(), set()]"
Bittersweet Symphony,GAMPER & DADONI,2019.,"[set(), set()]"
Don't Check On Me,Chris Brown,2019.,"[set(), set()]"
How I Move,Flipp Dinero,2019.,"[{'rollie', 'benz'}, set()]"
Mirándote,Rvfv,2019.,"[set(), set()]"
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,2019.,"[set(), set()]"
Beer Can’t Fix,Thomas Rhett,2019.,"[set(), set()]"
Heat,Chris Brown,2019.,"[{'patek philippe', 'fendi', 'birkin', 'celine'}, set()]"
Sing It With Me,JP Cooper,2019.,"[set(), set()]"
Undrunk,FLETCHER,2019.,"[set(), set()]"
MOJAITA,J Balvin,2019.,"[{'corona'}, {'miami'}]"
La Cartera,Farruko,2019.,"[{'louis', 'cartier', 'supreme', 'harley', 'gucci'}, {'jamaica'}]"
Rebota,Guaynaa,2019.,"[set(), set()]"
Free Spirit,Khalid,2019.,"[set(), set()]"
Love Your Voice,JONY,2019.,"[set(), set()]"
On & On,Alok,2019.,"[set(), set()]"
Gbona,Burna Boy,2019.,"[set(), set()]"
Keisha & Becky,Russ Millions,2019.,"[set(), {'cali', 'london'}]"
Rayando el Sol,Maná,2019.,"[set(), set()]"
Unbelievable,Why Don't We,2019.,"[set(), set()]"
In The Party,Flo Milli,2019.,"[set(), {'alabama'}]"
Lottery (Renegade),K CAMP,2019.,"[{'gucci', 'laurent', 'givenchy', 'prada'}, {'dc'}]"
No Quiero Amarte,Justin Quiles,2019.,"[set(), set()]"
2002,Sido,2019.,"[{'bacardi'}, {'essen'}]"
9 and Three Quarters (Run Away),TOMORROW X TOGETHER,2019.,"[set(), {'montana', 'santos'}]"
Friend Like Me,Will Smith,2019.,"[set(), set()]"
Stronger,The Score,2019.,"[set(), set()]"
Kalank,Pritam,2019.,"[set(), set()]"
A Casa É Sua,Casa Worship,2019.,"[set(), set()]"
Fresa,TINI,2019.,"[set(), {'tantas'}]"
Goddamn,Tyga,2019.,"[{'lamborghini'}, {'california'}]"
Deux frères,PNL,2019.,"[{'mustang', 'ford', 'nike'}, set()]"
Two of Us,Louis Tomlinson,2019.,"[{'louis'}, set()]"
Does To Me,Luke Combs,2019.,"[set(), set()]"
Insomnia,Daya,2019.,"[set(), set()]"
"Big, Big Plans",Chris Lane,2019.,"[set(), set()]"
Bacc Seat,Roddy Ricch,2019.,"[{'porsche', 'celine', 'balenciaga', 'gucci', 'jeep'}, set()]"
CROWN,TOMORROW X TOGETHER,2019.,"[set(), set()]"
Soltera,Lunay,2019.,"[set(), set()]"
Class Fight,Melanie Martinez,2019.,"[set(), set()]"
Venice Bitch,Lana Del Rey,2019.,"[set(), set()]"
Maman ne le sait pas,Ninho,2019.,"[{'cayenne', 'balmain'}, set()]"
Hatchback,Cochise,2019.,"[set(), {'tokyo', 'liverpool'}]"
Triggered (freestyle),Jhené Aiko,2019.,"[set(), set()]"
"I'm Good Luv, Enjoy.",Aaron May,2019.,"[set(), set()]"
DOLLAR,Becky G,2019.,"[set(), set()]"
Ropa De Bazar,Ed Maverick,2019.,"[set(), set()]"
Lose It,Kane Brown,2019.,"[set(), set()]"
Catching Feelings,Drax Project,2019.,"[set(), set()]"
Date La Vuelta,Luis Fonsi,2019.,"[set(), {'cartagena', 'venezuela', 'puerto rico'}]"
Let Me Down Slowly,Alec Benjamin,2019.,"[set(), set()]"
La Difícil,Camilo,2019.,"[set(), set()]"
BLOW,Ed Sheeran,2019.,"[set(), set()]"
Homesick,Kane Brown,2019.,"[set(), set()]"
Alors On Danse,Stromae,2019.,"[set(), set()]"
Press,Cardi B,2019.,"[{'dior', 'bentley', 'patek'}, {'new york', 'georgia', 'florida'}]"
Glass House,mgk,2019.,"[set(), {'pittsburgh'}]"
Toast,Koffee,2019.,"[set(), set()]"
Mi Mala,Mau y Ricky,2019.,"[set(), set()]"
One,Lewis Capaldi,2019.,"[set(), set()]"
Delincuente,Farruko,2019.,"[set(), set()]"
Sem Sal,Marília Mendonça,2019.,"[set(), set()]"
Boasty,Wiley,2019.,"[set(), {'cali'}]"
Miss Lonely,Sech,2019.,"[set(), set()]"
Punto G,KAROL G,2019.,"[set(), set()]"
Torn,Ava Max,2019.,"[set(), set()]"
Pieces,AVAION,2019.,"[set(), set()]"
Tomboy,Destiny Rogers,2019.,"[{'sephora'}, set()]"
23 Island,JayDaYoungan,2019.,"[set(), set()]"
MEGATRON,Nicki Minaj,2019.,"[{'fendi', 'barbie', 'benz'}, set()]"
Bem Pior Que Eu,Marília Mendonça,2019.,"[set(), set()]"
Made For You,Jake Owen,2019.,"[set(), set()]"
Combatchy,Anitta,2019.,"[set(), set()]"
Shea Butter Baby,Ari Lennox,2019.,"[set(), set()]"
Shots,Lil Tecca,2019.,"[set(), set()]"
Wish You Well,Sigala,2019.,"[set(), set()]"
Numb Numb Juice,ScHoolboy Q,2019.,"[set(), set()]"
ICY,ITZY,2019.,"[set(), set()]"
WHEN I WAS OLDER,Billie Eilish,2019.,"[set(), set()]"
Beautiful Scars,Maximillian,2019.,"[set(), set()]"
Love Me More,Trippie Redd,2019.,"[set(), set()]"
Te Apuesto,Marca MP,2019.,"[set(), set()]"
Wieder Lila,Samra,2019.,"[{'louis', 'levis', 'lamborghini', 'gucci', 'tom ford', 'beamer'}, {'milan'}]"
Mile High,James Blake,2019.,"[set(), set()]"
Dive,Hot Shade,2019.,"[set(), set()]"
Love Talk,WayV,2019.,"[set(), set()]"
North Memphis,Pharmacist,2019.,"[{'glock'}, {'memphis'}]"
Love You For A Long Time,Maggie Rogers,2019.,"[set(), set()]"
El Sillón,Alfredo Olivas,2019.,"[set(), set()]"
Myself,Post Malone,2019.,"[set(), {'orlando'}]"
Dime Que Sí,Jay Wheeler,2019.,"[set(), set()]"
Ela É do Tipo,MC Kevin o Chris,2019.,"[set(), set()]"
Espaçosa Demais,Felipe Araújo,2019.,"[set(), set()]"
Kick It,BLACKPINK,2019.,"[set(), set()]"
MIROH,Stray Kids,2019.,"[set(), set()]"
There Was This Girl,Riley Green,2019.,"[set(), set()]"
Body,Summer Walker,2019.,"[set(), {'london'}]"
Surtada,Dadá Boladão,2019.,"[set(), set()]"
Focus,Bazzi,2019.,"[set(), set()]"
No Te Debí Besar,C. Tangana,2019.,"[set(), set()]"
"Trueno: Bzrp Freestyle Sessions, Vol. 6",Bizarrap,2019.,"[set(), {'china'}]"
Melody,Lost Frequencies,2019.,"[set(), set()]"
Fingías,Paloma Mami,2019.,"[set(), set()]"
22,TINI,2019.,"[set(), set()]"
La bandite,Jul,2019.,"[set(), set()]"
Legacy,Offset,2019.,"[{'richard mille', 'rari', 'ghini'}, {'mississippi'}]"
No New Friends,Sia,2019.,"[set(), set()]"
Halu,Feby Putri,2019.,"[set(), set()]"
Bebaça,Marília Mendonça,2019.,"[set(), set()]"
Pura Pura Lupa,Mahen,2019.,"[set(), set()]"
No Puedo,Paulo Londra,2019.,"[set(), set()]"
Ne reviens pas,Gradur,2019.,"[{'uber'}, set()]"
I Know,Post Malone,2019.,"[set(), set()]"
An Art Gallery Could Never Be As Unique As You,mrld,2019.,"[set(), set()]"
I duckinf hatw you,Ghostemane,2019.,"[set(), set()]"
Com Ou Sem Mim,Gustavo Mioto,2019.,"[set(), set()]"
Perdição,L7NNON,2019.,"[set(), set()]"
Leave Me Alone,NF,2019.,"[set(), set()]"
IMPORTED,Jessie Reyez,2019.,"[{'porsches', 'honda'}, set()]"
Goutte d'eau,Ninho,2019.,"[set(), set()]"
I Want You Around,Snoh Aalegra,2019.,"[set(), set()]"
CRUDELIA,Marracash,2019.,"[set(), set()]"
Family,The Chainsmokers,2019.,"[set(), set()]"
Self Control,YoungBoy Never Broke Again,2019.,"[{'dior', 'glock'}, set()]"
Right Back,Khalid,2019.,"[set(), {'la'}]"
Love song,Lana Del Rey,2019.,"[set(), set()]"
B11,Rvssian,2019.,"[{'versace'}, set()]"
Dear Society,Madison Beer,2019.,"[set(), {'amsterdam', 'madison'}]"
In Your Arms,ILLENIUM,2019.,"[set(), {'rome'}]"
Kinfolks,Sam Hunt,2019.,"[set(), set()]"
Araw-Araw,Ben&Ben,2019.,"[set(), set()]"
Woke Up Late,Drax Project,2019.,"[set(), set()]"
On Chill,Wale,2019.,"[set(), set()]"
Um Pedido,Hungria,2019.,"[{'audi'}, set()]"
Mi Error,Eladio Carrion,2019.,"[set(), set()]"
Magenta Riddim,DJ Snake,2019.,"[set(), set()]"
Jerry Sprunger,Tory Lanez,2019.,"[{'lamborghini'}, set()]"
Lay By Me,Ruben,2019.,"[set(), set()]"
THRU THE NIGHT,Jack Harlow,2019.,"[set(), set()]"
Professor X,Dave,2019.,"[{'pradas', 'henny', 'rollie', 'balenciagas'}, {'lv'}]"
カワキヲアメク,美波,2019.,"[set(), set()]"
Stay Awake,Dean Lewis,2019.,"[set(), set()]"
Honeybee,The Head And The Heart,2019.,"[set(), set()]"
quando a bad bater,Luan Santana,2019.,"[set(), set()]"
Nero Forte,Slipknot,2019.,"[set(), set()]"
I Lost a Friend,FINNEAS,2019.,"[set(), set()]"
