Title,Artist,Year,Entities
Adicto,Tainy,2019.,"[{'valentino', 'lambo'}, set()]"
Pa Mí,Dalex,2019.,"[{'balenciaga'}, set()]"
OUT WEST,JACKBOYS,2019.,"[set(), set()]"
Hola,Dalex,2019.,"[set(), set()]"
Me Niego,Reik,2019.,"[set(), set()]"
My Oh My,Camila Cabello,2019.,"[{'bimmer'}, set()]"
Doin' Time,Lana Del Rey,2019.,"[set(), set()]"
YKWIM?,Yot Club,2019.,"[set(), set()]"
Teeth,5 Seconds of Summer,2019.,"[set(), set()]"
Otro Trago,Sech,2019.,"[set(), {'puerto rico'}]"
ORANGE SODA,Baby Keem,2019.,"[set(), set()]"
Never Really Over,Katy Perry,2019.,"[set(), set()]"
On My Way,Alan Walker,2019.,"[set(), set()]"
Here With Me,Marshmello,2019.,"[set(), set()]"
Lights Up,Harry Styles,2019.,"[set(), set()]"
Still Don't Know My Name,Labrinth,2019.,"[set(), set()]"
Giant,Calvin Harris,2019.,"[set(), set()]"
Fantasias,Rauw Alejandro,2019.,"[set(), {'miami', 'rome'}]"
All Around The World (La La La),R3HAB,2019.,"[set(), set()]"
Paper Rings,Taylor Swift,2019.,"[set(), set()]"
A Mí,Rels B,2019.,"[set(), set()]"
Summer Days,Martin Garrix,2019.,"[set(), set()]"
Suge,DaBaby,2019.,"[{'glock'}, set()]"
all the good girls go to hell,Billie Eilish,2019.,"[set(), {'california'}]"
This City,Sam Fischer,2019.,"[set(), set()]"
NEW MAGIC WAND,"Tyler, The Creator",2019.,"[set(), set()]"
Takeaway,The Chainsmokers,2019.,"[set(), set()]"
Take What You Want,Post Malone,2019.,"[set(), set()]"
Mount Everest,Labrinth,2019.,"[set(), {'dubai'}]"
Rescue Me,OneRepublic,2019.,"[set(), set()]"
Sanctuary,Joji,2019.,"[set(), set()]"
"Alone, Pt. II",Alan Walker,2019.,"[set(), set()]"
HP,Maluma,2019.,"[set(), set()]"
Mary On A Cross,Ghost,2019.,"[set(), set()]"
Call You Mine,The Chainsmokers,2019.,"[set(), set()]"
Car's Outside,James Arthur,2019.,"[set(), set()]"
Can I Call You Tonight?,Dayglow,2019.,"[set(), set()]"
El Efecto,Rauw Alejandro,2019.,"[set(), set()]"
夜に駆ける,YOASOBI,2019.,"[set(), set()]"
Tutu,Camilo,2019.,"[set(), set()]"
The Search,NF,2019.,"[set(), set()]"
I.F.L.Y.,Bazzi,2019.,"[{'champion'}, set()]"
Paradise,Bazzi,2019.,"[set(), set()]"
Nights Like This,Kehlani,2019.,"[set(), set()]"
Post Malone,Sam Feldt,2019.,"[{'bacardi', 'ferrari'}, set()]"
Dancing With Your Ghost,Sasha Alex Sloan,2019.,"[set(), set()]"
Sigues Con El,Arcángel,2019.,"[set(), set()]"
Beer Never Broke My Heart,Luke Combs,2019.,"[set(), set()]"
Un Año,Sebastian Yatra,2019.,"[set(), set()]"
Suicidal,YNW Melly,2019.,"[{'hennessy'}, set()]"
"Yo x Ti, Tu x Mi",ROSALÍA,2019.,"[set(), set()]"
So Am I,Ava Max,2019.,"[{'harley'}, set()]"
Genius,Sia,2019.,"[set(), set()]"
UN PESO,J Balvin,2019.,"[set(), set()]"
you were good to me,Jeremy Zucker,2019.,"[set(), set()]"
Hollywood's Bleeding,Post Malone,2019.,"[{'lambo'}, set()]"
Heading South,Zach Bryan,2019.,"[set(), set()]"
Make You Mine,PUBLIC,2019.,"[set(), set()]"
Please Me,Cardi B,2019.,"[set(), set()]"
listen before i go,Billie Eilish,2019.,"[set(), set()]"
Thunderclouds,Sia,2019.,"[set(), set()]"
Love Me,Lil Tecca,2019.,"[set(), set()]"
Cinnamon Girl,Lana Del Rey,2019.,"[set(), set()]"
Verte Ir,DJ Luian,2019.,"[set(), {'colombia', 'callao'}]"
Location,Dave,2019.,"[{'off-white', 'benz'}, {'india'}]"
Shameless,Camila Cabello,2019.,"[set(), set()]"
One Thing Right,Marshmello,2019.,"[set(), set()]"
Te Robaré,Nicky Jam,2019.,"[set(), set()]"
Who Do You Love,The Chainsmokers,2019.,"[{'fendi'}, set()]"
