Artist,Title,Streams,Daily
Pop Smoke,Hello,"585,587,353","126,547"
Fujii Kaze,死ぬのがいいわ,"582,684,029","380,404"
BLACKPINK,Ice Cream,"581,791,490","141,737"
Bad Bunny,Una Vez,"579,625,352","308,603"
Brent Faiyaz,Clouded,"579,083,394","411,736"
Camilo,Vida de Rico,"577,478,692","160,871"
NLE Choppa,Walk Em Down,"576,880,601","185,064"
BLACKPINK,Lovesick Girls,"575,213,706","281,324"
Manuel Turizo,La Nota,"568,962,574","160,903"
Pop Smoke,The Woo,"567,332,458","128,874"
Jack Harlow,Tyler Herro,"564,679,187","154,364"
Halsey,You should be sad,"563,594,166","90,484"
Pop Smoke,Invincible,"561,942,854","238,011"
Juice WRLD,Righteous,"560,224,121","118,518"
Lil Nas X,HOLIDAY,"556,105,630","80,710"
Ariana Grande,pov,"552,748,690","203,835"
DJ Khaled,GREECE,"551,752,939","138,796"
"Tyler, The Creator",BEST INTEREST,"551,533,186","777,654"
Trueno,Mamichula,"549,150,242","526,852"
Alexander 23,IDK You Yet,"537,742,663","158,521"
Kygo,Lose Somebody,"537,666,914","87,229"
The Ronettes,Sleigh Ride,"536,095,617","12,374"
Black Eyed Peas,GIRL LIKE ME,"534,811,422","110,942"
Pop Smoke,Element,"533,669,745","192,613"
Coyote Theory,This Side of Paradise,"533,012,823","320,616"
Black Eyed Peas,MAMACITA,"531,911,583","86,747"
Ava Max,My Head & My Heart,"530,873,481","165,984"
Morgan Wallen,More Than My Hometown,"528,839,313","427,234"
King Von,Took Her To The O,"521,464,398","429,298"
Ashnikko,Daisy,"516,154,628","128,106"
Ozuna,Caramelo,"511,667,740","67,290"
Pop Smoke,Got It On Me,"511,052,976","188,818"
Taylor Swift,my tears ricochet,"508,177,069","542,355"
Polo G,21,"507,991,652","135,516"
Ariana Grande,motive,"505,583,663","185,075"
Eslabon Armado,Jugaste y Sufrí,"504,864,851","228,728"
Sebastian Yatra,Chica Ideal,"501,309,237","132,492"
HVME,Goosebumps,"500,045,395","90,293"
J Balvin,Azul,"494,962,136","101,587"
The Kid LAROI,GO,"494,533,935","107,613"
Camilo,Favorito,"493,224,426","76,035"
Luke Combs,Forever After All,"490,115,945","299,570"
J Balvin,Morado,"489,543,741","79,282"
Manuel Turizo,Quiéreme Mientras Se Pueda,"485,836,717","512,928"
Jaymes Young,Happiest Year,"485,057,069","177,760"
The Strokes,The Adults Are Talking,"482,684,881","385,804"
Farruko,La Tóxica,"479,452,671","54,309"
Beach Bunny,Cloud 9,"478,337,786","201,249"
6ix9ine,GOOBA,"477,425,876","100,763"
Eyedress,Romantic Lover,"474,493,006","637,316"
Myke Towers,Diosa,"473,699,842","149,635"
Sech,Relación,"472,988,584","83,607"
Billie Eilish,my future,"471,302,596","175,437"
Juice WRLD,Smile,"469,424,439","98,648"
Zoe Wees,Control,"467,986,904","195,473"
BTS,Black Swan,"466,726,374","122,030"
Ed Sheeran,Afterglow,"466,573,771","91,518"
Chris Stapleton,You Should Probably Leave,"465,783,070","763,879"
BTS,ON,"459,247,311","111,472"
Morgan Wallen,7 Summers,"456,404,162","412,220"
