Artist,Title,Streams,Daily
Miley Cyrus,Flowers,"2,135,855,455","1,547,254"
Jung Kook,Seven,"1,795,847,826","2,340,302"
Tate McRae,greedy,"1,360,715,431","1,752,487"
Jimin,Like Crazy,"1,269,247,010","479,127"
Eslabon Armado,Ella Baila Sola,"1,253,141,038","724,887"
David Kushner,Daylight,"1,197,731,895","1,294,129"
Doja Cat,Paint The Town Red,"1,132,748,647","1,046,061"
Mitski,My Love Mine All Mine,"1,100,277,898","1,879,801"
d4vd,Here With Me,"1,095,013,501","948,005"
The Weeknd,One Of The Girls,"1,094,095,554","2,854,631"
Yng Lvcas,La Bebe,"1,085,202,718","976,289"
KAROL G,TQG,"1,074,320,878","1,090,441"
Olivia Rodrigo,vampire,"1,062,196,245","1,088,175"
Grupo Frontera,un x100to,"1,052,775,181","856,319"
Morgan Wallen,Last Night,"994,184,295","1,368,187"
Myke Towers,LALA,"970,441,441","1,288,460"
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53","968,986,323","407,108"
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]","966,709,560","1,334,006"
Teddy Swims,Lose Control,"956,983,202","3,355,918"
The Weeknd,Die For You,"947,062,052","721,433"
KAROL G,QLONA,"939,628,836","2,055,308"
Feid,CLASSY 101,"927,956,769","1,061,227"
Dua Lipa,Dance The Night,"912,340,841","951,210"
FIFTY FIFTY,Cupid,"885,552,319","428,894"
The Weeknd,Popular,"875,748,966","1,114,575"
PinkPantheress,Boy's a liar Pt. 2,"871,636,744","401,983"
Gunna,fukumean,"839,447,579","1,622,299"
Kenya Grace,Strangers,"804,161,646","1,008,210"
Jung Kook,Standing Next to You,"789,605,141","2,196,808"
Travis Scott,FE!N,"774,887,829","2,416,767"
Quevedo,Columbia,"772,900,719","1,044,639"
Bad Bunny,PERRO NEGRO,"764,865,125","1,436,372"
Kali Uchis,Moonlight,"746,014,308","790,763"
Tyla,Water,"742,237,706","1,522,354"
Bad Bunny,WHERE SHE GOES,"742,145,751","439,669"
Feid,LUNA,"741,778,913","2,521,451"
Dave,Sprinter,"735,927,383","736,569"
V,Love Me Again,"729,667,040","1,915,086"
Jack Harlow,Lovin On Me,"725,036,097","866,824"
Peso Pluma,LADY GAGA,"719,940,084","645,253"
Zach Bryan,I Remember Everything,"719,433,514","1,578,015"
Xavi,La Diabla,"714,633,296","1,083,307"
Junior H,El Azul,"711,247,709","495,195"
KAROL G,AMARGURA,"706,987,688","1,824,560"
Calle 24,Que Onda,"705,619,081","1,125,565"
NewJeans,OMG,"702,268,483","470,822"
Peso Pluma,PRC,"685,908,762","329,121"
cassö,Prada,"672,743,411","937,954"
ROSALÍA,BESO,"670,612,255","450,198"
Carin Leon,Primera Cita,"657,011,050","1,203,909"
Olly Alexander (Years & Years),King,"656,529,385","329,678"
Oliver Tree,Miss You,"647,155,565","270,709"
