Artist,Title,Streams,Daily
Tones And I,Dance Monkey,"3,106,666,654","810,622"
Harry Styles,Watermelon Sugar,"2,788,485,110","1,065,902"
Shawn Mendes,Señorita,"2,780,955,690","851,081"
Dua Lipa,Don't Start Now,"2,670,105,803","1,240,057"
Billie Eilish,bad guy,"2,548,693,300","649,152"
Post Malone,Circles,"2,537,437,712","1,051,658"
Taylor Swift,Cruel Summer,"2,347,571,685","3,032,780"
Lewis Capaldi,Before You Go,"1,963,863,399","777,959"
Roddy Ricch,The Box,"1,960,349,857","692,035"
Billie Eilish,when the party's over,"1,885,985,769","771,650"
Ed Sheeran,I Don't Care,"1,835,513,221","413,644"
J Balvin,LA CANCIÓN,"1,759,707,477","1,088,388"
Harry Styles,Adore You,"1,716,523,548","544,724"
Post Malone,Wow.,"1,707,516,054","508,658"
Travis Scott,HIGHEST IN THE ROOM,"1,677,609,855","1,329,328"
Billie Eilish,everything i wanted,"1,651,483,151","669,076"
Lil Nas X,Old Town Road,"1,538,966,970","223,336"
KAROL G,Tusa,"1,515,981,766","400,413"
Arizona Zervas,ROXANNE,"1,487,118,262","230,241"
Taylor Swift,Lover,"1,477,521,551","1,365,059"
Bad Bunny,Callaita,"1,477,025,742","560,726"
Jonas Brothers,Sucker,"1,431,774,137","360,311"
Ed Sheeran,Beautiful People,"1,407,855,472","261,033"
Lil Tecca,Ransom,"1,397,244,327","759,737"
JHAYCO,No Me Conoce,"1,393,382,317","495,530"
Regard,Ride It,"1,382,806,820","644,087"
Daddy Yankee,Con Calma,"1,376,543,783","475,086"
Sam Smith,Dancing With A Stranger,"1,372,600,601","463,052"
J. Cole,MIDDLE CHILD,"1,307,536,827","408,260"
Chris Brown,Under The Influence,"1,304,877,090","1,110,297"
Post Malone,Goodbyes,"1,281,490,817","323,300"
Masked Wolf,Astronaut In The Ocean,"1,266,051,154","273,912"
Harry Styles,Falling,"1,251,234,079","441,776"
Doja Cat,Say So,"1,213,810,598","266,103"
Duncan Laurence,Arcade,"1,213,497,236","557,913"
Anuel AA,China,"1,195,150,401","366,867"
BTS,Boy With Luv (Feat. Halsey),"1,181,476,710","275,469"
JP Saxe,If the World Was Ending,"1,165,289,318","343,529"
Ali Gatie,It's You,"1,141,043,459","330,574"
Topic,Breaking Me,"1,139,660,954","179,998"
Pop Smoke,Dior,"1,090,462,514","371,684"
Doja Cat,Streets,"1,084,675,083","528,326"
Dan + Shay,"10,000 Hours","1,074,930,843","229,662"
Chris Brown,No Guidance,"1,047,255,836","307,600"
Shawn Mendes,If I Can't Have You,"1,027,656,332","235,242"
Mabel,Don't Call Me Up,"1,027,011,005","178,459"
Billie Eilish,bury a friend,"1,024,676,217","184,686"
Lil Nas X,Old Town Road,"1,020,330,798","193,048"
Nicky Jam,X,"1,009,171,955","589,210"
MEDUZA,Piece Of Your Heart,"1,005,879,370","217,537"
Bad Bunny,Vete,"1,004,652,892","236,319"
"Tyler, The Creator",EARFQUAKE,"997,807,568","648,253"
Drake,Money In The Grave (Drake ft. Rick Ross),"982,075,099","213,127"
Sam Smith,How Do You Sleep?,"981,025,665","158,079"
Y2K,Lalala,"977,112,918","156,199"
Khalid,Talk,"976,300,323","153,285"
Lunay,Soltera (Remix),"974,541,072","261,727"
Black Eyed Peas,RITMO (Bad Boys For Life),"970,889,547","185,963"
Surfaces,Sunday Best,"966,833,464","269,745"
Kygo,Higher Love,"965,642,299","388,054"
Taylor Swift,You Need To Calm Down,"961,302,268","472,860"
Billie Eilish,i love you,"954,617,482","446,110"
MEDUZA,Lose Control,"944,098,783","234,072"
Juice WRLD,Bandit,"938,303,294","228,475"
Surf Mesa,ily (i love you baby),"926,104,871","260,470"
Harry Styles,Golden,"924,947,383","212,907"
Gesaffelstein,Lost in the Fire,"923,021,050","445,287"
Mustard,Ballin',"919,793,734","237,649"
Billie Eilish,you should see me in a crown,"875,406,604","264,996"
Wallows,Are You Bored Yet?,"875,161,875","391,380"
Dhruv,double take,"873,633,718","1,037,688"
Labrinth,Formula,"873,442,080","464,884"
Taylor Swift,ME!,"873,160,117","234,830"
Polo G,Pop Out,"870,162,564","227,928"
CKay,love nwantiti (ah ah ah),"870,088,760","332,950"
Eyedress,Jealous,"839,791,593","938,879"
BLACKPINK,Kill This Love,"836,665,325","304,861"
DJ Snake,Loco Contigo,"833,172,605","212,891"
DaBaby,BOP,"829,802,957","165,927"
New West,Those Eyes,"828,667,563","939,400"
Ariana Grande,boyfriend,"827,278,113","351,595"
J Balvin,QUE PRETENDES,"824,778,761","349,818"
Lewis Capaldi,Hold Me While You Wait,"809,602,455","276,222"
Olivia Rodrigo,All I Want,"799,608,652","480,793"
Billie Eilish,wish you were gay,"797,010,701","174,432"
Taylor Swift,The Man,"794,072,039","589,169"
Ashe,Moral of the Story,"791,045,476","506,416"
ROSALÍA,Con Altura,"778,904,124","158,060"
Ed Sheeran,South of the Border,"773,716,955","150,930"
Ellie Goulding,Hate Me,"771,900,696","262,425"
Avicii,SOS,"771,427,138","157,594"
Anuel AA,Secreto,"770,592,256","234,635"
Paulo Londra,Tal Vez,"767,881,637","352,799"
Clairo,Sofia,"753,839,461","394,500"
Julia Michaels,What A Time,"752,808,165","233,678"
Sub Urban,Cradles,"752,179,532","312,265"
Lil Nas X,Panini,"747,075,155","97,967"
Lil Tjay,F.N,"743,096,385","216,647"
Young Thug,The London,"736,147,016","114,045"
Mustard,Pure Water,"735,275,666","190,906"
