Artist,Title,Streams,Daily
Conan Gray,Memories,"465,336,108","368,412"
Tate McRae,she's all i wanna be,"464,633,326","212,699"
The Weeknd,Out of Time,"464,399,242","228,884"
KAROL G,CAIRO,"464,126,774","430,545"
Hotel Ugly,Shut up My Moms Calling (Sped up),"454,218,972","606,564"
SZA,Open Arms,"453,625,624","891,586"
BTS,Run BTS,"453,207,177","225,452"
Beyoncé,BREAK MY SOUL,"451,484,770","150,322"
Bad Bunny,Andrea,"450,161,747","334,692"
Kendrick Lamar,N95,"448,848,389","364,535"
La Adictiva,JGL,"447,842,717","196,765"
Lauren Spencer Smith,Fingers Crossed,"446,937,085","182,806"
Bad Bunny,Otro Atardecer,"444,470,714","359,524"
Anggi Marito,Tak Segampang Itu,"443,092,288","592,750"
Bad Bunny,Dos Mil 16,"441,779,555","278,182"
KAROL G,GATÚBELA,"440,814,074","277,010"
Taylor Swift,Snow On The Beach,"439,091,989","174,164"
Ñengo Flow,Gato de Noche,"437,748,122","177,955"
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),"437,444,096","158,924"
Bailey Zimmerman,Rock and A Hard Place,"434,844,679","440,192"
Dxrk ダーク,RAVE,"429,947,265","255,445"
Central Cee,LET GO,"429,426,462","244,410"
Marília Mendonça,Leão,"429,134,395","294,023"
Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"427,425,277","147,807"
Kodak Black,Super Gremlin,"426,853,268","164,908"
Burna Boy,Last Last,"426,222,736","309,268"
Wisin & Yandel,Besos Moja2,"425,801,128","180,726"
Eden Muñoz,Chale,"423,755,096","192,549"
Suki Waterhouse,Good Looking,"422,096,495","731,286"
Yuridia,Qué Agonía,"418,009,645","676,605"
Future,PUFFIN ON ZOOTIEZ,"416,919,141","549,539"
Harry Styles,Music For a Sushi Restaurant,"416,250,398","142,266"
Quavo,HOTEL LOBBY (Unc & Phew),"415,201,687","294,240"
Daddy Yankee,X ÚLTIMA VEZ,"415,174,724","114,170"
