Artist,Title,Streams,Daily
The Kid LAROI,STAY,"3,189,828,669","1,690,486"
Olivia Rodrigo,drivers license,"2,231,382,259","854,546"
Olivia Rodrigo,good 4 u,"2,212,441,075","815,993"
Maroon 5,Memories,"2,043,430,426","764,244"
Lil Nas X,INDUSTRY BABY,"2,039,800,435","457,990"
Lil Nas X,MONTERO (Call Me By Your Name),"1,927,677,038","574,489"
24kGoldn,Mood,"1,901,466,734","629,941"
Doja Cat,Kiss Me More,"1,870,731,267","850,781"
Ed Sheeran,Bad Habits,"1,782,402,298","522,307"
Adele,Easy On Me,"1,776,181,842","1,338,574"
Doja Cat,Woman,"1,657,940,953","691,184"
Olivia Rodrigo,deja vu,"1,657,397,953","907,313"
Justin Bieber,Ghost,"1,645,547,832","1,107,666"
Justin Bieber,Peaches,"1,637,957,492","516,864"
Olivia Rodrigo,traitor,"1,617,410,394","982,188"
Ed Sheeran,Shivers,"1,606,509,140","721,396"
Imagine Dragons,Enemy,"1,543,151,452","764,669"
Farruko,Pepas,"1,530,015,594","615,020"
Bad Bunny,Yonaguni,"1,417,314,633","394,932"
Rauw Alejandro,Todo De Ti,"1,384,454,916","988,112"
Billie Eilish,Happier Than Ever,"1,357,890,738","681,603"
Bruno Mars,Leave The Door Open,"1,347,427,788","514,258"
Coldplay,My Universe,"1,299,876,794","496,790"
Lost Frequencies,Where Are You Now,"1,285,106,051","1,377,506"
BTS,Butter,"1,274,710,118","303,790"
LISA,MONEY,"1,217,586,033","394,017"
Doja Cat,Need to Know,"1,196,347,760","340,446"
Olivia Rodrigo,happier,"1,174,847,401","809,433"
GAYLE,abcdefu,"1,143,073,107","270,377"
Surf Curse,Freaks,"1,130,328,738","820,944"
Olivia Rodrigo,favorite crime,"1,101,721,517","841,831"
Måneskin,I WANNA BE YOUR SLAVE,"1,088,650,909","787,783"
Lil Nas X,THATS WHAT I WANT,"1,078,345,368","279,514"
Rauw Alejandro,Desesperados,"1,075,725,023","1,232,406"
Stephen Sanchez,Until I Found You,"1,062,658,933","796,300"
Riton,Friday,"998,010,801","358,749"
The Weeknd,Pray For Me,"939,998,744","435,468"
The Kid LAROI,WITHOUT YOU,"939,027,645","190,611"
Polo G,RAPSTAR,"938,590,844","297,843"
Tainy,Lo Siento BB:/,"933,748,325","464,099"
Olivia Rodrigo,"jealousy, jealousy","920,590,543","657,013"
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"872,548,547","543,329"
Marshmello,Leave Before You Love Me,"870,867,692","398,455"
Tory Lanez,The Color Violet,"858,328,135","998,929"
Doja Cat,You Right,"854,347,940","366,092"
Sleepy Hallow,2055,"850,097,508","800,232"
Drake,Fair Trade,"841,547,448","424,516"
Tiësto,The Motto,"840,951,280","368,012"
Sebastian Yatra,Pareja Del Año,"834,656,630","316,965"
Baby Keem,family ties,"825,453,532","564,415"
ACRAZE,Do It To It,"825,301,926","391,286"
J Balvin,Qué Más Pues?,"824,956,446","250,739"
Drake,Wants and Needs,"807,363,702","265,229"
Taylor Swift,Love Story (Taylor’s Version),"806,355,006","828,287"
Aventura,Volví,"796,628,998","309,227"
Lil Tjay,Calling My Phone,"791,158,433","275,126"
Travis Scott,Goosebumps,"780,399,119","238,493"
Little Mix,Shout Out to My Ex,"764,045,847","139,678"
Taylor Swift,Wildest Dreams (Taylor's Version),"762,724,293","571,344"
Justin Bieber,Hold On,"760,089,762","188,770"
Morgan Wallen,Wasted On You,"756,256,392","728,176"
TINI,Miénteme,"755,444,982","634,235"
Drake,Knife Talk,"746,559,843","272,756"
Maroon 5,Beautiful Mistakes,"745,103,910","271,326"
ATB,Your Love (9PM),"736,845,409","305,422"
MEDUZA,Paradise,"735,388,538","189,096"
Mora,Volando,"715,442,991","260,459"
zzoilo,Mon Amour,"705,973,887","332,721"
BoyWithUke,Toxic,"704,467,085","292,972"
Tiësto,Don't Be Shy,"701,392,170","307,347"
Taylor Swift,You Belong With Me (Taylor’s Version),"700,698,199","777,105"
Justin Bieber,Anyone,"698,277,349","157,842"
Marc Seguí,Tiroteo,"689,725,755","528,353"
BTS,Permission to Dance,"685,635,452","181,021"
Gera MX,Botella Tras Botella,"664,744,631","282,681"
Sebastian Yatra,Tacones Rojos,"658,006,085","309,856"
Olivia Rodrigo,brutal,"657,956,048","338,338"
Cardi B,Up,"655,660,615","203,013"
INTERWORLD,METAMORPHOSIS,"650,730,909","489,500"
Rauw Alejandro,Cúrame,"648,643,665","1,217,357"
Anitta,Envolver,"646,123,064","215,273"
Post Malone,One Right Now,"643,248,083","211,248"
PinkPantheress,Pain,"637,418,663","956,347"
The Rare Occasions,Notion,"630,143,643","567,997"
Doja Cat,Get Into It (Yuh),"614,873,033","223,393"
Maluma,Sobrio,"609,592,697","182,177"
CKay,love nwantiti,"604,063,677","158,446"
Los Legendarios,Fiel,"603,535,942","148,542"
KAROL G,EL MAKINON,"586,136,960","241,743"
OneRepublic,Run,"585,650,366","307,145"
Saweetie,Best Friend,"584,366,162","249,891"
Oliver Tree,Life Goes On,"578,760,627","170,998"
Nio Garcia,AM Remix,"578,127,298","132,841"
Gabry Ponte,Thunder,"577,079,371","429,813"
Adele,Oh My God,"571,863,423","225,121"
Drake,Way 2 Sexy,"567,411,294","142,920"
Peso Pluma,Por Las Noches,"553,775,969","237,975"
Troye Sivan,Angel Baby,"549,127,238","305,905"
Trippie Redd,Miss The Rage,"547,333,560","203,840"
Rauw Alejandro,2/Catorce,"543,745,667","167,938"
Ingratax,París,"533,692,350","108,302"
LISA,LALISA,"524,939,547","266,751"
Matt Sassari,Give It To Me,"523,823,904","878,423"
Madison Beer,Reckless,"523,555,365","357,129"
Dua Lipa,We're Good,"522,183,718","100,839"
Joel Corry,OUT OUT,"521,250,601","238,405"
Rvssian,Nostálgico,"513,521,058","171,362"
Majestic,Rasputin,"512,506,250","271,564"
Cochise,Tell Em,"510,398,051","197,185"
DVRST,Close Eyes,"508,057,105","212,794"
Olivia Rodrigo,"1 step forward, 3 steps back","505,889,735","363,263"
Camila Cabello,Don't Go Yet,"505,868,951","119,324"
